product_id,export_rca,location_code
650,0.00051881594,AGO
651,0,AGO
652,0,AGO
653,0.0007549381,AGO
654,0,AGO
655,0.0013584509,AGO
656,0,AGO
657,2.0225566e-06,AGO
658,8.364833e-06,AGO
659,0,AGO
660,0,AGO
661,0,AGO
662,0,AGO
663,0,AGO
664,0,AGO
665,0,AGO
666,0,AGO
667,9.198959e-05,AGO
668,0.0015514761,AGO
669,3.885945e-06,AGO
670,0.009256007,AGO
671,0.2883383,AGO
672,1.653875e-05,AGO
673,0,AGO
674,4.759878e-05,AGO
675,0,AGO
676,0,AGO
677,1.46027705e-05,AGO
678,0.0025235298,AGO
679,0,AGO
680,0,AGO
681,0,AGO
682,0,AGO
683,0.0021995225,AGO
684,0,AGO
685,0,AGO
686,0,AGO
687,0,AGO
688,0,AGO
689,0,AGO
690,0,AGO
691,0,AGO
692,0.0736013,AGO
693,0.0032928546,AGO
694,0,AGO
695,0,AGO
696,0.00013399532,AGO
697,0,AGO
698,0.00045087512,AGO
699,0,AGO
700,0.0004686064,AGO
701,0,AGO
702,0,AGO
703,0,AGO
704,0,AGO
705,0,AGO
706,0,AGO
707,0,AGO
708,0,AGO
709,0,AGO
710,0,AGO
711,0,AGO
712,0,AGO
713,0,AGO
714,0,AGO
715,0,AGO
716,0,AGO
717,0,AGO
718,0,AGO
719,0,AGO
720,0,AGO
721,0,AGO
722,0,AGO
723,0,AGO
724,1.8548899e-05,AGO
725,0,AGO
726,0.0094631035,AGO
727,3.1198528e-05,AGO
728,0,AGO
729,0,AGO
730,0,AGO
731,0,AGO
732,0,AGO
733,0,AGO
734,0,AGO
735,0,AGO
736,0,AGO
737,0,AGO
738,0,AGO
739,0,AGO
740,0,AGO
741,0.000117271135,AGO
742,0,AGO
743,0,AGO
744,0.0006181558,AGO
745,0.0008093519,AGO
746,0,AGO
747,0,AGO
748,0,AGO
749,0,AGO
750,0,AGO
751,0,AGO
752,0,AGO
753,0,AGO
754,0,AGO
755,0,AGO
756,0,AGO
757,0,AGO
758,0,AGO
759,0,AGO
760,0,AGO
761,0,AGO
762,0,AGO
763,0.0007784085,AGO
764,0.000108977845,AGO
765,0,AGO
766,0,AGO
767,0,AGO
768,0,AGO
769,0,AGO
770,0,AGO
771,0,AGO
772,0,AGO
773,0,AGO
774,0,AGO
775,0,AGO
776,0.07270819,AGO
777,0,AGO
778,0,AGO
779,7.971846e-05,AGO
780,0,AGO
781,1.20070345e-05,AGO
782,0,AGO
783,0,AGO
784,0,AGO
785,0,AGO
786,0,AGO
787,0,AGO
788,0,AGO
789,0.0030130208,AGO
790,0,AGO
791,0,AGO
792,0,AGO
793,0,AGO
794,0,AGO
795,3.2808515e-05,AGO
796,0,AGO
797,0,AGO
798,0,AGO
799,0,AGO
800,4.5301866e-05,AGO
801,0,AGO
802,0,AGO
803,0,AGO
804,0,AGO
805,0,AGO
806,0,AGO
807,0,AGO
808,0,AGO
809,0,AGO
810,0,AGO
811,4.2175878e-05,AGO
812,0,AGO
813,0,AGO
814,0,AGO
815,0,AGO
816,0,AGO
817,0,AGO
818,0,AGO
819,0,AGO
820,0,AGO
821,0,AGO
822,0,AGO
823,9.9918725e-06,AGO
824,0,AGO
825,0,AGO
826,0.00091704784,AGO
827,0,AGO
828,0,AGO
829,8.761122e-05,AGO
830,0.0018701907,AGO
831,0.0002691593,AGO
832,0.0014993381,AGO
833,1.4687282e-05,AGO
834,0,AGO
835,0,AGO
836,0,AGO
837,0.0001317032,AGO
838,0,AGO
839,0.051785897,AGO
840,0,AGO
841,0,AGO
842,0,AGO
843,0,AGO
844,0,AGO
845,0,AGO
846,0,AGO
847,0,AGO
848,0.0055360096,AGO
849,0.0015173692,AGO
850,0.021565244,AGO
851,0.00073280575,AGO
852,0,AGO
853,0,AGO
854,0.00021556138,AGO
855,0.2347245,AGO
856,0.014554698,AGO
857,0,AGO
858,0,AGO
859,0,AGO
860,0,AGO
861,0,AGO
862,0,AGO
863,0.0036389732,AGO
864,0,AGO
865,0.011647619,AGO
866,3.121305,AGO
867,0.00042816633,AGO
868,0,AGO
869,0,AGO
870,0,AGO
871,0,AGO
872,0,AGO
873,0.002943655,AGO
874,0,AGO
875,0,AGO
876,0,AGO
878,0,AGO
879,0,AGO
880,0.0011819965,AGO
881,0,AGO
882,0,AGO
883,0,AGO
884,0,AGO
885,0,AGO
886,1.2292602e-05,AGO
887,0,AGO
888,0,AGO
889,0,AGO
890,0,AGO
891,0,AGO
892,0,AGO
893,0,AGO
894,0,AGO
895,0,AGO
896,0,AGO
897,0.004723789,AGO
898,0,AGO
899,0,AGO
900,0,AGO
901,0.000284203,AGO
902,0,AGO
903,0,AGO
904,0.00074808224,AGO
905,0,AGO
906,0,AGO
907,0,AGO
908,0,AGO
909,0,AGO
910,10.650699,AGO
911,0.15682021,AGO
912,0.26598814,AGO
913,0,AGO
914,0,AGO
915,0.0013850754,AGO
916,0,AGO
917,0,AGO
918,0,AGO
919,0,AGO
920,0,AGO
921,0.0062821293,AGO
922,0,AGO
923,0.00010988853,AGO
924,0.0074916626,AGO
925,0,AGO
926,0,AGO
927,0,AGO
928,0,AGO
929,0,AGO
930,0,AGO
931,0,AGO
932,0.0014505102,AGO
933,0,AGO
934,0,AGO
935,0,AGO
936,0,AGO
937,0,AGO
938,0,AGO
939,0,AGO
940,0.011516067,AGO
941,0,AGO
942,0,AGO
943,0,AGO
944,0,AGO
945,0,AGO
946,0,AGO
947,0,AGO
948,0,AGO
949,0,AGO
950,0,AGO
951,0,AGO
952,0,AGO
953,0.0035818573,AGO
954,0,AGO
955,0,AGO
956,0,AGO
957,0,AGO
958,0,AGO
959,0,AGO
960,0,AGO
961,0.00068538496,AGO
962,0,AGO
963,0,AGO
964,0,AGO
965,0,AGO
966,0,AGO
967,0,AGO
968,0,AGO
969,0,AGO
970,0,AGO
971,0,AGO
972,0.010783283,AGO
973,0,AGO
974,0,AGO
975,0,AGO
976,0,AGO
977,0,AGO
978,0,AGO
979,0,AGO
980,0,AGO
981,0,AGO
982,0,AGO
983,4.0502833e-05,AGO
984,0,AGO
985,0,AGO
986,0.0002319194,AGO
987,0,AGO
988,0,AGO
989,0,AGO
990,0,AGO
991,0,AGO
992,0,AGO
993,0,AGO
994,0,AGO
995,0,AGO
996,0,AGO
997,0,AGO
998,0,AGO
999,0,AGO
1000,0,AGO
1001,0,AGO
1002,0,AGO
1003,0,AGO
1004,0,AGO
1005,0,AGO
1006,0,AGO
1007,0,AGO
1008,0,AGO
1009,0,AGO
1010,0,AGO
1011,3.377803e-05,AGO
1012,5.214224e-06,AGO
1013,1.10269175e-05,AGO
1014,4.383626e-05,AGO
1015,0.0031716065,AGO
1016,0,AGO
1017,0,AGO
1018,0,AGO
1019,0,AGO
1020,0,AGO
1021,1.0743196e-06,AGO
1022,0,AGO
1023,0,AGO
1024,0,AGO
1025,9.697329e-05,AGO
1026,0,AGO
1027,0,AGO
1028,0,AGO
1029,2.7015392e-06,AGO
1030,0,AGO
1031,0,AGO
1032,0,AGO
1033,0,AGO
1034,0,AGO
1035,0,AGO
1036,0.001074237,AGO
1037,0.00059761154,AGO
1038,0.00010730248,AGO
1039,5.2797393e-05,AGO
1040,2.6106818e-06,AGO
1041,1.5879632e-05,AGO
1042,0,AGO
1043,0.00031370364,AGO
1044,1.7588436e-05,AGO
1045,6.353966e-05,AGO
1046,0.0003044179,AGO
1047,1.6104454e-05,AGO
1048,0,AGO
1049,0,AGO
1050,0,AGO
1051,0,AGO
1052,0,AGO
1053,0.0033361556,AGO
1054,0,AGO
1055,0,AGO
1056,0,AGO
1057,0.009047697,AGO
1058,0.00022550923,AGO
1059,0.001301075,AGO
1060,0.00068834896,AGO
1061,0.00015421047,AGO
1062,0,AGO
1063,0,AGO
1064,0,AGO
1065,0,AGO
1066,0,AGO
1067,0.003105897,AGO
1068,0.0020063706,AGO
1069,0.00044472836,AGO
1070,0,AGO
1071,0,AGO
1072,0,AGO
1073,0,AGO
1074,0,AGO
1075,0,AGO
1076,0,AGO
1077,0,AGO
1078,0,AGO
1079,0,AGO
1080,0,AGO
1081,0.0032338067,AGO
1082,0,AGO
1083,0,AGO
1084,0,AGO
1085,0,AGO
1086,0,AGO
1087,0,AGO
1088,0,AGO
1089,0,AGO
1090,0,AGO
1091,0,AGO
1092,2.8494342e-05,AGO
1093,0.00015267698,AGO
1094,2.0178664e-05,AGO
1095,0,AGO
1096,0,AGO
1097,0,AGO
1098,0,AGO
1099,0,AGO
1100,0.00054654136,AGO
1101,0,AGO
1102,0,AGO
1103,0,AGO
1104,0,AGO
1105,0.00020694108,AGO
1106,0,AGO
1107,0,AGO
1108,0.0033051604,AGO
1109,0,AGO
1110,4.3754986e-05,AGO
1111,0,AGO
1112,8.6058484e-05,AGO
1113,0.00020279917,AGO
1114,6.587392e-05,AGO
1115,0,AGO
1116,0.00039313833,AGO
1117,3.6188767e-06,AGO
1118,1.4401138e-05,AGO
1119,0.00013637148,AGO
1120,0,AGO
1121,1.2921582e-06,AGO
1122,0,AGO
1123,0,AGO
1124,0,AGO
1125,0.0022916258,AGO
1126,0,AGO
1127,0,AGO
1128,0.0027357137,AGO
1129,8.3665815e-05,AGO
1130,7.447645e-06,AGO
1131,0.0073593133,AGO
1132,0,AGO
1133,0,AGO
1134,0,AGO
1135,0.0012782868,AGO
1136,0,AGO
1137,0.0045193224,AGO
1138,0,AGO
1139,0,AGO
1140,0,AGO
1141,0.0030023444,AGO
1142,0,AGO
1143,0,AGO
1144,0,AGO
1145,0,AGO
1146,0,AGO
1147,0,AGO
1148,0,AGO
1149,2.8711445e-05,AGO
1150,3.1535117e-06,AGO
1151,0,AGO
1152,0,AGO
1153,0,AGO
1154,0,AGO
1155,0,AGO
1156,0,AGO
1157,0,AGO
1158,0,AGO
1159,0,AGO
1160,0.038908105,AGO
1161,0,AGO
1162,0,AGO
1163,0,AGO
1164,0.0025616877,AGO
1165,0,AGO
1166,0,AGO
1167,0,AGO
1168,0,AGO
1169,0.00040612373,AGO
1170,0.002151525,AGO
1171,0,AGO
1172,0.00070678233,AGO
1173,0,AGO
1174,0,AGO
1175,0,AGO
1176,0.00028269232,AGO
1177,0.0027022676,AGO
1178,0.00014955766,AGO
1179,0,AGO
1180,0,AGO
1181,0,AGO
1182,0,AGO
1183,0,AGO
1184,4.329015e-05,AGO
1185,0,AGO
1186,0,AGO
1187,0,AGO
1188,0,AGO
1189,0,AGO
1190,0.013852049,AGO
