country
JPN 
DEU 
CHE 
SWE 
AUT 
FIN 
SGP 
CZE 
GBR 
SVN 
FRA 
KOR
USA 
HUN 
SVK 
ITA 
DNK 
IRL 
ISR 
MEX 
BLR 
BEL 
NLD 
HKG 
POL 
HRV 
ROU 
ESP 
CHN 
PAN 
THA 
EST 
NOR 
MYS 
PRT 
LTU 
SRB 
BIH 
LVA 
BGR 
CAN 
UKR 
TUR 
LBN 
JOR 
RUS 
TUN 
NZL 
CRI 
MDA 
IND 
BRA 
GRC 
COL 
ZAF 
URY 
ARG 
ALB 
PHL 
SLV 
IDN 
MKD 
EGY 
DOM 
GTM 
ARE 
VNM 
SAU
KGZ 
GEO 
LKA 
NAM 
KEN 
SEN
SYR 
TTO 
MUS 
CHL 
AUS 
ZWE 
JAM 
PAK 
MAR 
CUB 
QAT
PRY
UGA
HND
PER
MDG
OMN 
KAZ 
ECU 
BWA 
TZA 
UZB 
NIC 
KHM 
CIV 
GHA 
BOL 
LAO 
BGD 
ETH 
ZMB 
MWI 
YEM 
TJK 
MOZ 
MLI 
VEN 
LBR 
MNG 
DZA 
TKM 
KWT 
AZE 
IRN 
LBY 
GAB 
CMR 
NGA 
GIN 
PNG
COG 
SDN 
AGO 
MRT 
